source,target,edge_type,confidence,timestamp,source_year,target_year,source_major,target_major
S001,S140,code_copying,0.7994596861733998,2026-06-21 21:49:50.113079,2,4,BIO,MATH
S001,S139,exam_sharing,0.28120864499749615,2026-09-01 21:49:50.113194,2,4,BIO,PHYS
S001,S102,answer_distribution,0.41488811558718125,2026-07-18 21:49:50.113308,2,3,BIO,PHYS
S001,S096,exam_sharing,0.26327231273499424,2026-07-07 21:49:50.113423,2,3,BIO,ENG
S001,S092,essay_sharing,0.26957455613125325,2026-07-04 21:49:50.132531,2,3,BIO,BIO
S001,S156,exam_sharing,0.35120904085844734,2026-08-14 21:49:50.132646,2,1,BIO,ENG
S004,S043,code_copying,0.5141620542270416,2026-08-30 21:49:50.114374,4,2,CHEM,ENG
S004,S139,exam_sharing,0.15856897340784273,2026-07-12 21:49:50.114489,4,4,CHEM,PHYS
S004,S102,answer_distribution,0.32972018267504033,2026-07-11 21:49:50.114609,4,3,CHEM,PHYS
S005,S169,exam_sharing,0.11633893019813,2026-07-19 21:49:50.118720,2,3,BIO,BIO
S005,S181,essay_sharing,0.34678713216380175,2026-08-20 21:49:50.118837,2,4,BIO,PHYS
S008,S153,essay_sharing,0.7001201984504003,2026-08-21 21:49:50.135709,3,1,ENG,PHYS
S009,S082,code_copying,0.22139324912503827,2026-07-29 21:49:50.120412,3,1,PHYS,BIO
S010,S169,answer_distribution,0.3383354565296605,2026-07-18 21:49:50.117215,1,3,BIO,BIO
S010,S141,exam_sharing,0.7616994019218899,2026-08-11 21:49:50.117387,1,3,BIO,CS
S010,S181,answer_distribution,0.2357699102019535,2026-06-13 21:49:50.117526,1,4,BIO,PHYS
S010,S005,code_copying,0.7461230906238079,2026-06-10 21:49:50.117666,1,2,BIO,BIO
S010,S165,essay_sharing,0.3934453775445612,2026-08-22 21:49:50.134828,1,4,BIO,CHEM
S013,S070,exam_sharing,0.6206670509182779,2026-06-25 21:49:50.109998,1,1,ENG,BIO
S013,S157,answer_distribution,0.38410570261756893,2026-08-16 21:49:50.110115,1,3,ENG,CS
S013,S072,exam_sharing,0.5937893904984386,2026-09-02 21:49:50.116123,1,2,ENG,MATH
S018,S169,answer_distribution,0.47053704828213505,2026-06-26 21:49:50.119571,3,3,PHYS,BIO
S018,S010,code_copying,0.45610546160321186,2026-06-27 21:49:50.119686,3,1,PHYS,BIO
S020,S156,exam_sharing,0.6019579797319454,2026-06-20 21:49:50.132877,1,1,MATH,ENG
S020,S102,exam_sharing,0.6204676826749613,2026-08-05 21:49:50.133000,1,3,MATH,PHYS
S020,S001,answer_distribution,0.6411613724512631,2026-06-27 21:49:50.133114,1,2,MATH,BIO
S020,S038,code_copying,0.5281739167467644,2026-07-05 21:49:50.133263,1,3,MATH,MATH
S024,S158,code_copying,0.5038567868479576,2026-06-29 21:49:50.115023,2,3,CHEM,BIO
S024,S034,code_copying,0.15286993736241727,2026-08-15 21:49:50.127042,2,1,CHEM,CS
S034,S024,answer_distribution,0.9279924659845904,2026-08-04 21:49:50.126463,1,2,CS,CHEM
S034,S090,answer_distribution,0.46932153862237397,2026-06-14 21:49:50.126580,1,4,CS,ENG
S034,S094,code_copying,0.1561209893354621,2026-07-12 21:49:50.126691,1,2,CS,MATH
S034,S041,essay_sharing,0.36057866903307456,2026-07-02 21:49:50.126804,1,1,CS,CS
S038,S092,exam_sharing,0.9889824596107276,2026-08-08 21:49:50.131702,3,3,MATH,BIO
S041,S024,exam_sharing,0.6018147563621744,2026-07-11 21:49:50.125994,1,2,CS,CHEM
S041,S090,answer_distribution,0.671404950482649,2026-09-06 21:49:50.126114,1,4,CS,ENG
S041,S134,answer_distribution,0.8650690987118886,2026-08-19 21:49:50.126227,1,2,CS,CHEM
S041,S107,code_copying,0.42385146626770476,2026-08-26 21:49:50.128866,1,2,CS,CHEM
S041,S106,exam_sharing,0.7546029797972738,2026-07-12 21:49:50.129513,1,1,CS,PHYS
S043,S140,answer_distribution,0.241287514414232,2026-07-18 21:49:50.112370,2,4,ENG,MATH
S048,S024,code_copying,0.855034003501893,2026-08-20 21:49:50.115487,2,2,MATH,CHEM
S048,S191,code_copying,0.869663253962153,2026-07-23 21:49:50.121990,2,1,MATH,ENG
S048,S175,code_copying,0.94547326596725,2026-07-04 21:49:50.137326,2,3,MATH,MATH
S052,S070,answer_distribution,0.7622345975721081,2026-06-29 21:49:50.110349,1,1,CHEM,BIO
S052,S157,essay_sharing,0.8423280888124638,2026-08-04 21:49:50.110476,1,3,CHEM,CS
S052,S013,answer_distribution,0.2081329605031972,2026-07-04 21:49:50.110590,1,1,CHEM,ENG
S066,S137,code_copying,0.32025242064923276,2026-07-29 21:49:50.124239,4,2,CS,CS
S068,S010,code_copying,0.49379372371451136,2026-07-20 21:49:50.134600,3,1,PHYS,BIO
S070,S138,code_copying,0.37700221679386675,2026-06-24 21:49:50.109511,1,1,BIO,MATH
S070,S157,essay_sharing,0.37191171428767983,2026-06-20 21:49:50.109634,1,3,BIO,CS
S070,S052,code_copying,0.8128430061375005,2026-07-06 21:49:50.109752,1,1,BIO,CHEM
S072,S013,code_copying,0.7884482791181512,2026-07-07 21:49:50.115884,2,1,MATH,ENG
S076,S082,exam_sharing,0.608805456364106,2026-07-27 21:49:50.120130,4,1,ENG,BIO
S082,S076,essay_sharing,0.7891093489991471,2026-07-05 21:49:50.120649,1,4,BIO,ENG
S084,S106,exam_sharing,0.17800895617839957,2026-07-05 21:49:50.129749,3,1,BIO,PHYS
S088,S125,exam_sharing,0.8152627371812161,2026-08-20 21:49:50.122636,4,4,CHEM,BIO
S090,S134,answer_distribution,0.24156243001814026,2026-07-23 21:49:50.127738,4,2,ENG,CHEM
S090,S087,code_copying,0.5488452104439697,2026-08-21 21:49:50.138708,4,3,ENG,ENG
S092,S102,code_copying,0.5264568586772843,2026-08-11 21:49:50.133590,3,3,BIO,PHYS
S092,S156,answer_distribution,0.16069646348870845,2026-08-21 21:49:50.133765,3,1,BIO,ENG
S092,S038,answer_distribution,0.6553348653112784,2026-08-03 21:49:50.133881,3,3,BIO,MATH
S094,S041,answer_distribution,0.7403391451247185,2026-08-01 21:49:50.127992,2,1,MATH,CS
S095,S102,code_copying,0.11032643602388517,2026-08-12 21:49:50.139432,4,3,MATH,PHYS
S095,S123,essay_sharing,0.23136543401647708,2026-08-17 21:49:50.141134,4,2,MATH,PHYS
S095,S143,essay_sharing,0.0613127646701467,2026-07-25 21:49:50.142052,4,3,MATH,BIO
S096,S139,exam_sharing,0.8523365155534744,2026-08-03 21:49:50.111409,3,4,ENG,PHYS
S096,S102,exam_sharing,0.7471605924604834,2026-06-27 21:49:50.111532,3,3,ENG,PHYS
S096,S140,exam_sharing,0.3747443789909228,2026-07-15 21:49:50.111646,3,4,ENG,MATH
S096,S001,code_copying,0.5473097683243402,2026-07-21 21:49:50.111759,3,2,ENG,BIO
S102,S096,essay_sharing,0.5186001468168762,2026-08-18 21:49:50.113665,3,3,PHYS,ENG
S102,S001,code_copying,0.3494267466167293,2026-09-03 21:49:50.113780,3,2,PHYS,BIO
S102,S139,exam_sharing,0.742318387021778,2026-07-25 21:49:50.113893,3,4,PHYS,PHYS
S102,S140,answer_distribution,0.29612630880067486,2026-07-18 21:49:50.114010,3,4,PHYS,MATH
S102,S004,answer_distribution,0.6912377102267964,2026-06-18 21:49:50.114123,3,4,PHYS,CHEM
S102,S038,essay_sharing,0.843908185002615,2026-09-06 21:49:50.131935,3,3,PHYS,MATH
S102,S092,code_copying,0.924468760218113,2026-08-08 21:49:50.132054,3,3,PHYS,BIO
S102,S020,essay_sharing,0.44068596714421016,2026-07-20 21:49:50.132166,3,1,PHYS,MATH
S102,S156,answer_distribution,0.7494005373871131,2026-08-20 21:49:50.132280,3,1,PHYS,ENG
S104,S133,exam_sharing,0.586169550309168,2026-08-20 21:49:50.125355,3,1,CS,CS
S106,S199,answer_distribution,0.5558504911754564,2026-06-10 21:49:50.129278,1,2,PHYS,CS
S107,S132,answer_distribution,0.5119804029591427,2026-07-21 21:49:50.128395,2,1,CHEM,PHYS
S108,S012,code_copying,0.13975852899738775,2026-07-12 21:49:50.137941,1,2,PHYS,CS
S118,S084,exam_sharing,0.2542155480785744,2026-08-25 21:49:50.130242,1,3,BIO,BIO
S122,S084,essay_sharing,0.277555820422343,2026-07-23 21:49:50.130003,3,3,ENG,BIO
S124,S133,essay_sharing,0.33528998029112494,2026-08-06 21:49:50.125584,1,1,BIO,CS
S125,S187,answer_distribution,0.41227195491984914,2026-07-13 21:49:50.123598,4,4,BIO,PHYS
S132,S107,answer_distribution,0.29422775085226943,2026-08-22 21:49:50.128624,1,2,PHYS,CHEM
S132,S172,code_copying,0.42464200113154194,2026-08-04 21:49:50.135291,1,1,PHYS,MATH
S133,S104,code_copying,0.3685791809048029,2026-08-03 21:49:50.125123,1,3,CS,CS
S134,S094,essay_sharing,0.13542922993320228,2026-07-28 21:49:50.127275,2,2,CHEM,MATH
S134,S090,answer_distribution,0.3767312713905175,2026-08-12 21:49:50.127391,2,4,CHEM,ENG
S134,S041,essay_sharing,0.4220266723658652,2026-06-11 21:49:50.127503,2,1,CHEM,CS
S136,S187,answer_distribution,0.5054573467177682,2026-07-02 21:49:50.123135,1,4,BIO,PHYS
S136,S125,code_copying,0.37864617100604187,2026-07-09 21:49:50.123254,1,4,BIO,BIO
S136,S088,answer_distribution,0.5465725863410978,2026-07-13 21:49:50.123367,1,4,BIO,CHEM
S137,S066,answer_distribution,0.5463029826735837,2026-08-05 21:49:50.124485,2,4,CS,CS
S138,S070,exam_sharing,0.7706919096559556,2026-08-16 21:49:50.108888,1,1,MATH,BIO
S138,S052,answer_distribution,0.7302189512161346,2026-08-31 21:49:50.109099,1,1,MATH,CHEM
S138,S157,exam_sharing,0.6270177061874157,2026-07-15 21:49:50.109245,1,3,MATH,CS
S139,S001,answer_distribution,0.7183488496827588,2026-08-25 21:49:50.112002,4,2,PHYS,BIO
S139,S102,exam_sharing,0.5242888471066234,2026-08-29 21:49:50.112118,4,3,PHYS,PHYS
S140,S001,exam_sharing,0.7116159211343869,2026-07-25 21:49:50.112609,4,2,MATH,BIO
S140,S004,answer_distribution,0.36296537144938673,2026-08-19 21:49:50.112724,4,4,MATH,CHEM
S140,S102,code_copying,0.7096483040646175,2026-09-06 21:49:50.112838,4,3,MATH,PHYS
S140,S066,essay_sharing,0.9470028782374648,2026-06-30 21:49:50.124715,4,4,MATH,CS
S141,S018,exam_sharing,0.5257669562190201,2026-06-16 21:49:50.118072,3,3,CS,PHYS
