date,violation_type,severity,course,reported_by,investigation_duration,appealed
2025-01-01,Cheating,Moderate,MATH101,Administrator,17,False
2025-01-01,Cheating,Major,CS101,Instructor,12,True
2025-01-01,Plagiarism,Moderate,CS201,Instructor,7,False
2025-01-01,Cheating,Moderate,PHYS101,TA,13,True
2025-01-01,Plagiarism,Moderate,CS201,Instructor,8,False
2025-01-01,Fabrication,Moderate,CS201,TA,13,False
2025-01-01,Unauthorized AI Use,Major,CS201,Administrator,11,True
2025-01-02,Plagiarism,Moderate,PHYS101,TA,13,False
2025-01-02,Cheating,Minor,MATH101,Administrator,18,False
2025-01-02,Plagiarism,Major,ENG101,Administrator,21,False
2025-01-02,Cheating,Minor,CS201,Peer,13,False
2025-01-02,Plagiarism,Moderate,ENG101,Instructor,12,False
2025-01-02,Unauthorized AI Use,Major,ENG101,TA,12,False
2025-01-02,Fabrication,Minor,CS101,Instructor,18,False
2025-01-02,Facilitation,Minor,PHYS101,Peer,10,False
2025-01-02,Cheating,Major,PHYS101,TA,17,False
2025-01-02,Facilitation,Minor,PHYS101,Instructor,17,False
2025-01-03,Facilitation,Minor,CS101,Administrator,13,False
2025-01-03,Facilitation,Moderate,CS201,Instructor,13,False
2025-01-03,Facilitation,Moderate,ENG101,Peer,13,False
2025-01-03,Unauthorized AI Use,Minor,ENG101,TA,16,False
2025-01-03,Plagiarism,Moderate,CS201,TA,12,False
2025-01-03,Plagiarism,Moderate,CS201,Administrator,19,False
2025-01-04,Unauthorized AI Use,Moderate,ENG101,Peer,13,False
2025-01-04,Fabrication,Moderate,CS101,TA,14,False
2025-01-04,Plagiarism,Moderate,ENG101,TA,19,False
2025-01-04,Unauthorized AI Use,Moderate,CS201,TA,21,False
2025-01-04,Plagiarism,Major,CS201,TA,11,False
2025-01-04,Plagiarism,Minor,MATH101,Administrator,16,False
2025-01-04,Unauthorized AI Use,Minor,CS201,TA,17,False
2025-01-05,Unauthorized AI Use,Major,ENG101,Peer,13,True
2025-01-05,Facilitation,Major,PHYS101,Peer,20,False
2025-01-05,Cheating,Moderate,PHYS101,Administrator,17,False
2025-01-05,Unauthorized AI Use,Moderate,CS101,Peer,11,False
2025-01-05,Unauthorized AI Use,Minor,MATH101,Peer,21,False
2025-01-05,Fabrication,Moderate,CS101,Administrator,15,False
2025-01-06,Plagiarism,Moderate,PHYS101,Administrator,15,False
2025-01-06,Plagiarism,Minor,PHYS101,Administrator,14,False
2025-01-06,Cheating,Major,ENG101,Peer,18,False
2025-01-06,Fabrication,Minor,PHYS101,TA,14,False
2025-01-06,Plagiarism,Major,CS201,Instructor,20,True
2025-01-06,Unauthorized AI Use,Moderate,CS201,Administrator,17,False
2025-01-07,Fabrication,Major,CS101,Instructor,23,False
2025-01-07,Unauthorized AI Use,Major,CS201,Peer,18,True
2025-01-07,Unauthorized AI Use,Major,PHYS101,Administrator,17,True
2025-01-07,Plagiarism,Moderate,CS101,Administrator,11,True
2025-01-08,Cheating,Moderate,MATH101,Instructor,19,False
2025-01-08,Unauthorized AI Use,Moderate,MATH101,Administrator,15,False
2025-01-08,Fabrication,Major,CS201,TA,16,False
2025-01-08,Fabrication,Major,CS101,Peer,19,False
2025-01-08,Facilitation,Minor,ENG101,TA,16,False
2025-01-08,Cheating,Moderate,ENG101,Instructor,11,False
2025-01-08,Plagiarism,Moderate,PHYS101,Instructor,15,False
2025-01-08,Plagiarism,Major,MATH101,TA,22,False
2025-01-08,Cheating,Moderate,PHYS101,TA,18,True
2025-01-08,Cheating,Moderate,MATH101,TA,10,True
2025-01-08,Cheating,Minor,MATH101,TA,20,True
2025-01-08,Plagiarism,Minor,ENG101,Peer,14,False
2025-01-08,Cheating,Moderate,CS201,Administrator,23,False
2025-01-08,Unauthorized AI Use,Major,MATH101,Instructor,14,True
2025-01-08,Fabrication,Moderate,PHYS101,Administrator,17,False
2025-01-09,Plagiarism,Minor,CS101,TA,16,False
2025-01-09,Plagiarism,Minor,MATH101,Administrator,15,True
2025-01-09,Cheating,Minor,CS101,Administrator,12,False
2025-01-09,Plagiarism,Moderate,MATH101,Peer,17,False
2025-01-09,Cheating,Moderate,PHYS101,Instructor,13,False
2025-01-09,Cheating,Minor,PHYS101,Peer,15,False
2025-01-09,Unauthorized AI Use,Moderate,PHYS101,Instructor,17,False
2025-01-09,Unauthorized AI Use,Minor,PHYS101,Instructor,12,False
2025-01-09,Unauthorized AI Use,Minor,CS101,Administrator,16,False
2025-01-10,Plagiarism,Major,ENG101,Instructor,11,False
2025-01-10,Cheating,Minor,ENG101,Instructor,17,False
2025-01-10,Unauthorized AI Use,Major,CS201,Peer,11,True
2025-01-10,Facilitation,Major,ENG101,Instructor,18,False
2025-01-10,Unauthorized AI Use,Moderate,MATH101,Peer,16,True
2025-01-10,Facilitation,Moderate,MATH101,Peer,15,False
2025-01-10,Plagiarism,Major,CS101,Instructor,20,False
2025-01-10,Fabrication,Minor,PHYS101,Administrator,17,False
2025-01-10,Unauthorized AI Use,Major,MATH101,Peer,8,False
2025-01-11,Facilitation,Minor,CS101,TA,18,False
2025-01-11,Cheating,Moderate,CS101,TA,13,False
2025-01-11,Plagiarism,Major,CS101,Administrator,26,False
2025-01-11,Unauthorized AI Use,Major,CS201,TA,19,False
2025-01-12,Plagiarism,Major,PHYS101,Instructor,18,False
2025-01-12,Plagiarism,Moderate,CS101,Peer,12,False
2025-01-12,Plagiarism,Major,MATH101,TA,16,True
2025-01-12,Plagiarism,Major,CS101,Instructor,17,False
2025-01-12,Unauthorized AI Use,Major,PHYS101,Administrator,10,False
2025-01-12,Plagiarism,Moderate,ENG101,Administrator,14,False
2025-01-12,Facilitation,Moderate,PHYS101,Administrator,11,False
2025-01-12,Cheating,Major,CS101,Instructor,12,False
2025-01-13,Cheating,Major,CS201,TA,18,False
2025-01-13,Cheating,Minor,CS101,Instructor,17,False
2025-01-13,Cheating,Major,ENG101,Peer,11,False
2025-01-13,Unauthorized AI Use,Moderate,MATH101,Administrator,12,True
2025-01-13,Plagiarism,Minor,CS201,Administrator,13,False
2025-01-13,Facilitation,Moderate,MATH101,Instructor,10,False
2025-01-13,Plagiarism,Minor,CS101,Administrator,12,False
2025-01-13,Unauthorized AI Use,Moderate,CS101,TA,15,False
2025-01-13,Facilitation,Minor,MATH101,Administrator,18,False
2025-01-13,Plagiarism,Moderate,CS201,Instructor,18,False
2025-01-14,Unauthorized AI Use,Minor,CS201,Instructor,15,False
2025-01-14,Cheating,Minor,ENG101,Instructor,9,False
2025-01-14,Facilitation,Moderate,CS101,Peer,17,False
2025-01-15,Cheating,Major,CS201,Administrator,16,True
2025-01-15,Fabrication,Minor,CS201,Instructor,19,False
2025-01-15,Unauthorized AI Use,Minor,ENG101,Peer,9,False
2025-01-15,Plagiarism,Major,MATH101,Instructor,10,False
2025-01-15,Cheating,Major,PHYS101,Administrator,14,True
2025-01-15,Unauthorized AI Use,Minor,MATH101,Instructor,14,True
2025-01-15,Cheating,Moderate,CS101,TA,16,False
2025-01-15,Cheating,Minor,PHYS101,Instructor,16,True
2025-01-16,Fabrication,Major,MATH101,Instructor,15,True
2025-01-16,Cheating,Major,CS201,Instructor,19,True
2025-01-16,Unauthorized AI Use,Major,PHYS101,Peer,10,False
2025-01-16,Unauthorized AI Use,Major,CS201,Instructor,19,False
2025-01-16,Cheating,Major,CS201,Peer,14,False
2025-01-16,Unauthorized AI Use,Moderate,ENG101,TA,14,False
2025-01-16,Cheating,Major,PHYS101,Peer,15,False
2025-01-16,Facilitation,Minor,MATH101,TA,6,True
2025-01-16,Plagiarism,Major,PHYS101,Peer,21,True
2025-01-16,Facilitation,Moderate,MATH101,Administrator,14,False
2025-01-16,Unauthorized AI Use,Minor,PHYS101,Peer,13,False
2025-01-16,Facilitation,Moderate,ENG101,Peer,12,False
2025-01-17,Cheating,Major,ENG101,Peer,15,False
2025-01-17,Fabrication,Moderate,ENG101,TA,18,True
2025-01-17,Unauthorized AI Use,Moderate,CS101,Instructor,13,False
2025-01-17,Unauthorized AI Use,Moderate,PHYS101,Instructor,14,False
2025-01-17,Cheating,Moderate,CS101,Instructor,21,False
2025-01-17,Fabrication,Minor,ENG101,Administrator,18,False
2025-01-17,Fabrication,Major,PHYS101,TA,17,False
2025-01-17,Unauthorized AI Use,Moderate,CS201,Peer,15,False
2025-01-17,Unauthorized AI Use,Major,PHYS101,Peer,15,False
2025-01-17,Cheating,Minor,CS101,TA,12,True
2025-01-17,Plagiarism,Minor,PHYS101,Instructor,10,False
2025-01-18,Facilitation,Moderate,PHYS101,TA,18,False
2025-01-18,Plagiarism,Minor,MATH101,TA,14,False
2025-01-18,Fabrication,Minor,PHYS101,Administrator,11,False
2025-01-18,Fabrication,Major,MATH101,TA,17,False
2025-01-18,Plagiarism,Moderate,ENG101,Instructor,9,False
2025-01-18,Plagiarism,Minor,PHYS101,Administrator,14,False
