Date,Region,Product,Units_Sold,Unit_Price,Revenue
2026-01-01,Islamabad,Laptop,8.0,85000,680000
2026-01-02,Lahore,Laptop,7.0,85000,595000
2026-01-03,Karachi,Phone,15.0,55000,825000
2026-01-04,Islamabad,Phone,12.0,55000,660000
2026-01-05,Lahore,Tablet,10.0,42000,420000
2026-01-06,Karachi,Laptop,9.0,85000,765000
2026-01-07,Islamabad,Phone,14.0,55000,770000
2026-01-08,Lahore,Tablet,11.0,42000,462000
2026-01-09,Karachi,Phone,16.0,55000,880000
2026-01-10,Islamabad,Laptop,10.0,85000,850000
2026-01-11,Lahore,Phone,13.0,55000,715000
2026-01-12,Karachi,Tablet,12.0,42000,504000
2026-01-13,Islamabad,Laptop,11.0,85000,935000
2026-01-14,Lahore,Phone,15.0,55000,825000
2026-01-15,Karachi,Laptop,10.0,85000,850000
2026-01-16,Islamabad,Tablet,13.0,42000,546000
2026-01-17,Lahore,Laptop,12.0,85000,1020000
2026-01-18,Karachi,Phone,17.0,55000,935000
2026-01-19,Islamabad,Phone,14.0,55000,770000
2026-01-20,Lahore,Tablet,14.0,42000,588000
2026-01-21,Karachi,Laptop,13.0,85000,1105000
2026-01-22,Islamabad,Phone,16.0,55000,880000
2026-01-23,Lahore,Laptop,14.0,85000,1190000
2026-01-24,Karachi,Tablet,15.0,42000,630000
2026-01-25,Islamabad,Laptop,15.0,85000,1275000
2026-01-26,Lahore,Phone,17.0,55000,935000
2026-01-27,Karachi,Laptop,16.0,85000,1360000
2026-01-28,Islamabad ,Phone,18.0,55000,990000
2026-01-29,Lahore,Tablet,,42000,672000
2026-01-30,Karachi,Laptop,18.0,85000,1530000
2026-01-31,Islamabad,Phone,19.0,55000,1045000
2026-02-01,Lahore,Laptop,17.0,85000,1445000
2026-02-02,Karachi,Phone,20.0,55000,1100000
2026-02-03,Islamabad,Tablet,16.0,42000,672000
2026-02-04,Lahore,Laptop,19.0,85000,1615000
2026-02-05,Karachi,Phone,21.0,55000,1155000
2026-02-06,Islamabad,Laptop,20.0,85000,1700000
2026-02-07,Lahore,Tablet,18.0,42000,756000
2026-02-08,Karachi,Laptop,22.0,85000,1870000
2026-02-09,Islamabad,Phone,21.0,55000,1155000
2026-02-10,Lahore,Laptop,23.0,85000,1955000
2026-02-11,Karachi,Phone,24.0,55000,1320000
2026-02-12,Islamabad,Tablet,20.0,42000,840000
2026-02-13,Lahore,Laptop,25.0,85000,2125000
2026-02-14,Karachi,Phone,26.0,55000,1430000
2026-02-15,Islamabad,Laptop,24.0,85000,2040000
2026-01-11,Lahore,Phone,13.0,55000,715000
2026-02-16,Karachi,Laptop,120.0,85000,10200000
