cascade_id,student_id,accused_by,accusation_date,evidence_strength,outcome,cascade_level,subject,sanction_level
C000,S102,S070,2026-04-05 21:49:54.128630,0.556827029523818,Appealed,0,PHYS,Probation
C000,S140,S074,2026-04-05 21:49:54.128630,0.6091188463832047,Pending,1,PHYS,Probation
C000,S133,S040,2026-04-12 21:49:54.128630,0.8576679518341038,Dismissed,2,PHYS,None
C000,S188,S100,2026-04-10 21:49:54.128630,0.7727146808399954,Upheld,3,CHEM,Expulsion
C000,S139,S143,2026-04-04 21:49:54.128630,0.4528164659646913,Dismissed,4,CS,Warning
C000,S078,S033,2026-04-06 21:49:54.128630,0.6231644763322488,Upheld,5,MATH,Probation
C000,S018,S134,2026-04-10 21:49:54.128630,0.8306738498699616,Dismissed,6,ENG,Probation
C000,S145,S039,2026-04-11 21:49:54.128630,0.3490891976250336,Dismissed,7,BIO,Warning
C000,S098,S189,2026-04-05 21:49:54.128630,0.9276194792289588,Pending,8,CHEM,Suspension
C000,S189,S128,2026-04-03 21:49:54.128630,0.7425595896385567,Upheld,9,ENG,None
C000,S069,S021,2026-04-12 21:49:54.128630,0.7453880690994046,Appealed,10,MATH,None
C000,S081,S103,2026-04-09 21:49:54.128630,0.2696923319720283,Upheld,11,BIO,Suspension
C000,S041,S072,2026-04-06 21:49:54.128630,0.44739488959586765,Dismissed,12,MATH,Expulsion
C000,S132,S030,2026-04-10 21:49:54.128630,0.8174544789054758,Pending,13,CS,None
C000,S188,S142,2026-04-09 21:49:54.128630,0.3312575490232708,Upheld,14,CHEM,Probation
C000,S128,S098,2026-04-11 21:49:54.128630,0.962797425233087,Upheld,15,CS,Expulsion
C000,S016,S148,2026-04-08 21:49:54.128630,0.7307612194771692,Appealed,16,MATH,Probation
C000,S135,S060,2026-04-11 21:49:54.128630,0.3103301799390246,Appealed,17,ENG,Suspension
C000,S156,S137,2026-04-08 21:49:54.128630,0.4755426836519282,Dismissed,18,ENG,Warning
C001,S184,S200,2026-06-24 21:49:54.141237,0.2719259408473994,Dismissed,0,CS,Probation
C001,S025,S107,2026-06-24 21:49:54.141237,0.7120027952402824,Pending,1,PHYS,Warning
C001,S086,S134,2026-06-29 21:49:54.141237,0.6862305178149923,Pending,2,BIO,Warning
C001,S079,S134,2026-07-01 21:49:54.141237,0.5430005945109516,Upheld,3,CHEM,Warning
C001,S112,S057,2026-07-01 21:49:54.141237,0.2019031207889615,Upheld,4,MATH,None
C001,S127,S077,2026-06-23 21:49:54.141237,0.6598729403172463,Upheld,5,MATH,Expulsion
C001,S041,S076,2026-06-24 21:49:54.141237,0.7377743803711806,Dismissed,6,BIO,Warning
C001,S149,S169,2026-06-27 21:49:54.141237,0.2594375780066134,Upheld,7,CS,Expulsion
C001,S058,S178,2026-06-23 21:49:54.141237,0.5855355671403507,Appealed,8,ENG,Warning
C002,S099,S175,2026-03-25 21:49:54.147468,0.3318233368285604,Pending,0,ENG,None
C002,S126,S027,2026-03-22 21:49:54.147468,0.3224417307872186,Pending,1,CHEM,Warning
C002,S030,S050,2026-03-25 21:49:54.147468,0.7787615177375891,Pending,2,PHYS,Expulsion
C002,S025,S178,2026-03-21 21:49:54.147468,0.528304639820721,Pending,3,BIO,Expulsion
C003,S146,S152,2026-04-11 21:49:54.151690,0.7716922719533714,Upheld,0,ENG,Warning
C003,S165,S118,2026-04-12 21:49:54.151690,0.5113520310417097,Upheld,1,CHEM,Warning
C003,S056,S058,2026-04-10 21:49:54.151690,0.6457713838801115,Upheld,2,MATH,Probation
C003,S132,S036,2026-04-15 21:49:54.151690,0.423496115709303,Upheld,3,CS,Suspension
C003,S075,S077,2026-04-12 21:49:54.151690,0.33890232520789426,Dismissed,4,PHYS,Warning
C003,S031,S034,2026-04-08 21:49:54.151690,0.8855999893175084,Dismissed,5,CS,Suspension
C003,S091,S070,2026-04-13 21:49:54.151690,0.3170328631294508,Dismissed,6,CHEM,None
C003,S131,S140,2026-04-10 21:49:54.151690,0.9346279456184082,Upheld,7,CHEM,Suspension
C003,S055,S160,2026-04-10 21:49:54.151690,0.6886809583286617,Upheld,8,CHEM,None
C003,S164,S052,2026-04-10 21:49:54.151690,0.597231701674348,Upheld,9,ENG,Expulsion
C003,S137,S109,2026-04-08 21:49:54.151690,0.9312885002559438,Dismissed,10,MATH,Probation
C003,S038,S129,2026-04-11 21:49:54.151690,0.7967763541591999,Dismissed,11,PHYS,Probation
C003,S149,S178,2026-04-10 21:49:54.151690,0.9455031323426683,Upheld,12,PHYS,Probation
C003,S189,S199,2026-04-12 21:49:54.151690,0.6306485723197951,Appealed,13,CS,Warning
C003,S020,S053,2026-04-13 21:49:54.151690,0.43464221764177957,Dismissed,14,CHEM,Warning
C003,S045,S153,2026-04-11 21:49:54.151690,0.803909703169817,Pending,15,PHYS,None
C003,S005,S122,2026-04-08 21:49:54.151690,0.7480007789021318,Upheld,16,CS,Probation
C004,S013,S164,2026-07-08 21:49:54.183570,0.9438617523747477,Dismissed,0,CHEM,Expulsion
C004,S112,S021,2026-07-15 21:49:54.183570,0.8813227691768876,Pending,1,CS,Warning
C004,S008,S059,2026-07-07 21:49:54.183570,0.6105079939524308,Dismissed,2,PHYS,Probation
C004,S014,S180,2026-07-08 21:49:54.183570,0.19926746342367832,Appealed,3,ENG,Warning
C004,S004,S038,2026-07-10 21:49:54.183570,0.5060506932658152,Pending,4,ENG,Warning
C004,S178,S166,2026-07-09 21:49:54.183570,0.6269684313332113,Upheld,5,MATH,Expulsion
C005,S102,S023,2026-07-22 21:49:54.199207,0.5876663365150431,Upheld,0,MATH,None
C005,S163,S057,2026-07-21 21:49:54.199207,0.7587858838362259,Upheld,1,MATH,Expulsion
C005,S111,S106,2026-07-21 21:49:54.199207,0.835442090559296,Upheld,2,BIO,Probation
C005,S122,S160,2026-07-22 21:49:54.199207,0.4305930990439727,Dismissed,3,BIO,None
C005,S175,S070,2026-07-21 21:49:54.199207,0.6227457430158085,Dismissed,4,CHEM,Warning
C005,S172,S003,2026-07-22 21:49:54.199207,0.6814228961300457,Pending,5,CHEM,Probation
C005,S143,S011,2026-07-20 21:49:54.199207,0.5967579351330444,Appealed,6,ENG,Warning
C005,S023,S181,2026-07-22 21:49:54.199207,0.42906695863601474,Upheld,7,MATH,Suspension
C006,S103,S177,2026-04-14 21:49:54.220273,0.7173254403134989,Pending,0,CHEM,Probation
C006,S112,S147,2026-04-19 21:49:54.220273,0.36837461952120437,Dismissed,1,CS,Probation
C006,S165,S135,2026-04-16 21:49:54.220273,0.7352228880835234,Dismissed,2,BIO,Expulsion
C006,S185,S158,2026-04-20 21:49:54.220273,0.5523412986752045,Dismissed,3,MATH,Warning
C007,S104,S127,2026-06-28 21:49:54.225590,0.4827162340078166,Dismissed,0,MATH,Suspension
C007,S153,S157,2026-07-02 21:49:54.225590,0.4890062005877746,Dismissed,1,CHEM,Warning
C007,S124,S102,2026-07-01 21:49:54.225590,0.8779406877930628,Upheld,2,CHEM,None
C007,S043,S078,2026-06-29 21:49:54.225590,0.2740517712048624,Upheld,3,CHEM,None
C008,S164,S009,2026-06-29 21:49:54.227891,0.7387137031464408,Dismissed,0,MATH,Warning
C008,S075,S190,2026-06-28 21:49:54.227891,0.6611246320794237,Appealed,1,PHYS,Warning
C008,S003,S014,2026-06-26 21:49:54.227891,0.7875234626366351,Appealed,2,ENG,Probation
C008,S153,S094,2026-07-01 21:49:54.227891,0.3896659590562414,Upheld,3,MATH,Probation
C008,S179,S111,2026-06-23 21:49:54.227891,0.39977971000900986,Dismissed,4,PHYS,None
C008,S051,S087,2026-06-27 21:49:54.227891,0.4161313368037511,Upheld,5,PHYS,Warning
C008,S006,S057,2026-06-26 21:49:54.227891,0.5308811539410451,Appealed,6,ENG,Warning
C008,S080,S178,2026-07-02 21:49:54.227891,0.15518117293052783,Pending,7,BIO,Suspension
C008,S113,S113,2026-06-27 21:49:54.227891,0.7997827973145586,Dismissed,8,PHYS,Probation
C008,S158,S027,2026-06-29 21:49:54.227891,0.8042036493941176,Upheld,9,PHYS,Probation
C009,S069,S112,2026-05-21 21:49:54.248364,0.7133703294906477,Dismissed,0,PHYS,Warning
C009,S034,S197,2026-05-15 21:49:54.248364,0.5761891511070427,Upheld,1,CHEM,Expulsion
C009,S010,S050,2026-05-17 21:49:54.248364,0.6676159498857539,Dismissed,2,ENG,Probation
C009,S006,S011,2026-05-17 21:49:54.248364,0.765142473257962,Upheld,3,ENG,Probation
C009,S090,S099,2026-05-16 21:49:54.248364,0.2920297469279143,Upheld,4,CHEM,Warning
C009,S147,S085,2026-05-15 21:49:54.248364,0.375312474626899,Dismissed,5,MATH,Warning
C009,S138,S054,2026-05-20 21:49:54.248364,0.31208326236002343,Dismissed,6,MATH,Warning
C009,S016,S015,2026-05-16 21:49:54.248364,0.6411193814506829,Dismissed,7,CHEM,Warning
C009,S117,S044,2026-05-14 21:49:54.248364,0.534895802556306,Dismissed,8,PHYS,Probation
C009,S130,S021,2026-05-18 21:49:54.248364,0.7182376744182493,Upheld,9,BIO,Probation
C009,S138,S112,2026-05-18 21:49:54.248364,0.6676487269497011,Upheld,10,ENG,None
C009,S014,S067,2026-05-18 21:49:54.248364,0.8317824282831621,Appealed,11,BIO,Probation
C010,S179,S057,2026-07-07 21:49:54.275970,0.5011074902511777,Upheld,0,CHEM,Probation
C010,S123,S083,2026-07-05 21:49:54.275970,0.8442580780951763,Dismissed,1,CS,Expulsion
C011,S153,S172,2026-04-29 21:49:54.278033,0.8875516498721397,Upheld,0,BIO,Warning
C011,S015,S026,2026-04-30 21:49:54.278033,0.8126842229478672,Dismissed,1,CHEM,Probation
C011,S024,S098,2026-04-27 21:49:54.278033,0.6597680172288882,Upheld,2,BIO,Probation
C012,S185,S070,2026-06-22 21:49:54.285036,0.8040305971033858,Pending,0,PHYS,Warning
C012,S129,S191,2026-06-23 21:49:54.285036,0.27545404528914086,Upheld,1,ENG,Warning
C012,S013,S039,2026-06-17 21:49:54.285036,0.9473251142754179,Upheld,2,PHYS,Warning
C012,S067,S002,2026-06-20 21:49:54.285036,0.5494923265154925,Pending,3,CHEM,None
C012,S112,S097,2026-06-20 21:49:54.285036,0.4825831793562486,Upheld,4,CS,None
C012,S069,S027,2026-06-17 21:49:54.285036,0.627362918932916,Dismissed,5,CS,Suspension
C012,S161,S027,2026-06-20 21:49:54.285036,0.714371142886527,Upheld,6,PHYS,Probation
C013,S121,S126,2026-05-05 21:49:54.293465,0.5752138203509868,Dismissed,0,PHYS,Probation
C013,S042,S135,2026-05-02 21:49:54.293465,0.51106099859528,Appealed,1,MATH,Probation
C013,S166,S045,2026-04-30 21:49:54.293465,0.835441886467905,Dismissed,2,CHEM,Warning
C013,S190,S075,2026-05-03 21:49:54.293465,0.28517716260143405,Upheld,3,MATH,Warning
C013,S092,S059,2026-05-05 21:49:54.293465,0.843054541022104,Appealed,4,PHYS,Suspension
C013,S066,S160,2026-05-05 21:49:54.293465,0.4679521823282602,Dismissed,5,ENG,Warning
C013,S108,S021,2026-04-29 21:49:54.293465,0.36711740099971485,Dismissed,6,ENG,Warning
C013,S050,S046,2026-05-02 21:49:54.293465,0.7530549883819743,Upheld,7,BIO,Probation
C013,S109,S086,2026-05-05 21:49:54.293465,0.4621808815497978,Upheld,8,PHYS,Warning
C013,S118,S034,2026-05-05 21:49:54.293465,0.7166443723510195,Upheld,9,CS,Probation
C013,S118,S126,2026-05-04 21:49:54.293465,0.5682802555246019,Upheld,10,CHEM,Warning
C014,S116,S057,2026-07-08 21:49:54.308101,0.21129744121077923,Dismissed,0,PHYS,None
C014,S096,S009,2026-07-07 21:49:54.308101,0.44656150430304337,Dismissed,1,CHEM,Warning
C014,S127,S198,2026-07-07 21:49:54.308101,0.5255172823544243,Pending,2,ENG,Probation
C014,S121,S128,2026-07-06 21:49:54.308101,0.6755771413233997,Upheld,3,CS,None
C014,S056,S023,2026-07-09 21:49:54.308101,0.5890959342472714,Upheld,4,ENG,None
C014,S030,S154,2026-07-06 21:49:54.308101,0.5559342311080068,Upheld,5,CHEM,Warning
C014,S191,S156,2026-07-07 21:49:54.308101,0.2550595596896154,Pending,6,CHEM,Warning
C014,S102,S140,2026-07-06 21:49:54.308101,0.7385821857485863,Upheld,7,MATH,Probation
C014,S077,S134,2026-07-07 21:49:54.308101,0.6466525775687908,Dismissed,8,CS,None
C014,S176,S035,2026-07-10 21:49:54.308101,0.7395579090985314,Upheld,9,ENG,Suspension
C015,S050,S185,2026-07-24 21:49:54.326057,0.7034509611810335,Dismissed,0,PHYS,Warning
C015,S148,S189,2026-07-21 21:49:54.326057,0.7636700819103287,Dismissed,1,CS,None
C015,S053,S051,2026-07-19 21:49:54.326057,0.33758520675335546,Pending,2,PHYS,Warning
C015,S015,S080,2026-07-27 21:49:54.326057,0.7144607847689205,Dismissed,3,PHYS,Suspension
C015,S075,S008,2026-07-23 21:49:54.326057,0.6261173560242119,Appealed,4,MATH,Warning
C016,S165,S115,2026-04-06 21:49:54.332298,0.76403925766317,Pending,0,MATH,Expulsion
C016,S172,S060,2026-04-04 21:49:54.332298,0.8016924675157364,Appealed,1,CHEM,None
C016,S079,S031,2026-04-01 21:49:54.332298,0.5556703560294154,Appealed,2,ENG,Expulsion
C017,S019,S134,2026-06-29 21:49:54.336370,0.5253112951728531,Upheld,0,ENG,Suspension
C017,S006,S013,2026-06-27 21:49:54.336370,0.8480728436715972,Upheld,1,BIO,Suspension
C017,S041,S100,2026-06-28 21:49:54.336370,0.37668686402640866,Dismissed,2,CS,Suspension
C017,S118,S188,2026-06-26 21:49:54.336370,0.505868612270803,Pending,3,CS,Warning
C017,S160,S007,2026-06-28 21:49:54.336370,0.7750300928582267,Dismissed,4,CHEM,None
C017,S017,S139,2026-06-25 21:49:54.336370,0.5616363328969557,Upheld,5,MATH,Probation
C017,S200,S170,2026-06-27 21:49:54.336370,0.7043465649613825,Upheld,6,MATH,Suspension
C017,S169,S176,2026-06-25 21:49:54.336370,0.6770103920656477,Dismissed,7,PHYS,Probation
C017,S172,S047,2026-06-24 21:49:54.336370,0.3869056910467481,Appealed,8,MATH,None
C017,S041,S055,2026-07-02 21:49:54.336370,0.6536113939583523,Dismissed,9,MATH,None
C018,S017,S082,2026-06-08 21:49:54.344778,0.8070304536810775,Appealed,0,PHYS,Probation
C018,S173,S003,2026-06-11 21:49:54.344778,0.2406783677209768,Dismissed,1,ENG,Probation
C018,S189,S015,2026-06-10 21:49:54.344778,0.7466527051895451,Upheld,2,MATH,Warning
C018,S140,S112,2026-06-10 21:49:54.344778,0.8137105975419773,Upheld,3,CS,Warning
C018,S064,S020,2026-06-08 21:49:54.344778,0.8919939297186175,Appealed,4,MATH,Suspension
C018,S083,S178,2026-06-10 21:49:54.344778,0.4993275934823442,Upheld,5,BIO,Probation
C018,S019,S157,2026-06-08 21:49:54.344778,0.38192114639849606,Upheld,6,MATH,Probation
C018,S043,S117,2026-06-12 21:49:54.344778,0.5695706708293032,Dismissed,7,ENG,Expulsion
C018,S004,S137,2026-06-12 21:49:54.344778,0.7007388025224051,Pending,8,MATH,Warning
C018,S196,S155,2026-06-10 21:49:54.344778,0.7663485289683879,Dismissed,9,MATH,None
C018,S128,S033,2026-06-11 21:49:54.344778,0.7851983699691625,Dismissed,10,MATH,Warning
C018,S036,S129,2026-06-10 21:49:54.344778,0.42583509618300946,Appealed,11,MATH,Suspension
C018,S026,S174,2026-06-13 21:49:54.344778,0.8020909700776396,Dismissed,12,MATH,Warning
C018,S165,S175,2026-06-11 21:49:54.344778,0.25989560370020887,Upheld,13,MATH,Expulsion
C018,S106,S198,2026-06-13 21:49:54.344778,0.881180783910185,Upheld,14,PHYS,Suspension
C019,S133,S161,2026-08-13 21:49:54.367053,0.628184621327418,Upheld,0,PHYS,Probation
C019,S078,S079,2026-08-11 21:49:54.367053,0.5711742117297341,Upheld,1,CS,Probation
C019,S138,S021,2026-08-14 21:49:54.367053,0.22218310802160987,Upheld,2,BIO,None
