student_id,year,major,gpa
S001,2,BIO,3.36
S002,1,MATH,2.58
S003,4,PHYS,3.17
S004,4,CHEM,3.35
S005,2,BIO,2.38
S006,4,ENG,2.94
S007,3,PHYS,2.81
S008,3,ENG,2.7
S009,3,PHYS,3.08
S010,1,BIO,2.88
S011,1,PHYS,3.22
S012,2,CS,2.73
S013,1,ENG,1.85
S014,2,MATH,2.06
S015,4,MATH,2.36
S016,2,ENG,3.13
S017,4,BIO,2.38
S018,3,PHYS,3.06
S019,4,MATH,2.92
S020,1,MATH,3.37
S021,2,CS,3.42
S022,1,CS,2.84
S023,3,MATH,3.16
S024,2,CHEM,3.06
S025,2,ENG,2.94
S026,2,PHYS,2.85
S027,1,MATH,3.02
S028,1,PHYS,2.63
S029,3,CS,2.58
S030,2,PHYS,2.75
S031,1,MATH,2.97
S032,3,MATH,2.41
S033,4,ENG,3.51
S034,1,CS,3.14
S035,3,MATH,2.35
S036,1,CHEM,3.02
S037,2,BIO,3.46
S038,3,MATH,3.15
S039,2,CHEM,2.55
S040,2,BIO,3.03
S041,1,CS,2.95
S042,3,CHEM,3.37
S043,2,ENG,3.35
S044,2,ENG,2.87
S045,2,CS,2.3
S046,1,MATH,3.38
S047,1,CS,2.94
S048,2,MATH,3.44
S049,3,PHYS,2.63
S050,1,BIO,3.16
S051,1,ENG,1.89
S052,1,CHEM,2.75
S053,2,BIO,2.73
S054,1,CHEM,2.89
S055,3,ENG,2.8
S056,3,ENG,3.51
S057,4,ENG,3.16
S058,2,PHYS,3.15
S059,3,ENG,3.2
S060,1,ENG,2.72
S061,1,ENG,3.65
S062,4,PHYS,3.12
S063,2,MATH,2.91
S064,2,CHEM,2.23
S065,1,CHEM,2.53
S066,4,CS,2.35
S067,2,ENG,1.68
S068,3,PHYS,3.22
S069,3,CS,2.74
S070,1,BIO,3.63
S071,1,CS,1.76
S072,2,MATH,3.31
S073,2,CHEM,3.4
S074,4,PHYS,3.3
S075,1,BIO,3.02
S076,4,ENG,3.1
S077,3,MATH,2.46
S078,1,ENG,2.83
S079,1,MATH,2.2
S080,3,BIO,2.62
S081,1,CHEM,3.08
S082,1,BIO,2.05
S083,1,CS,2.77
S084,3,BIO,2.95
S085,3,CS,3.08
S086,1,CS,2.58
S087,3,ENG,3.29
S088,4,CHEM,2.42
S089,3,BIO,3.03
S090,4,ENG,1.59
S091,2,CHEM,3.22
S092,3,BIO,2.4
S093,2,BIO,3.59
S094,2,MATH,3.44
S095,4,MATH,3.08
S096,3,ENG,3.01
S097,2,ENG,3.2
S098,3,CHEM,3.35
S099,1,MATH,3.1
S100,3,CHEM,3.41
S101,3,CHEM,2.41
S102,3,PHYS,3.31
S103,2,PHYS,3.68
S104,3,CS,1.64
S105,3,MATH,2.18
S106,1,PHYS,3.1
S107,2,CHEM,3.01
S108,1,PHYS,2.34
S109,3,CHEM,3.7
S110,2,CS,3.69
S111,1,ENG,3.6
S112,4,PHYS,2.97
S113,3,CHEM,2.8
S114,1,MATH,2.1
S115,2,CHEM,2.66
S116,2,CS,2.49
S117,3,MATH,2.76
S118,1,BIO,3.35
S119,3,BIO,3.49
S120,3,MATH,2.72
S121,2,PHYS,3.42
S122,3,ENG,3.04
S123,2,PHYS,1.54
S124,1,BIO,3.52
S125,4,BIO,2.82
S126,3,CHEM,3.1
S127,3,CS,2.46
S128,1,CS,3.37
S129,2,ENG,2.59
S130,2,MATH,3.65
S131,2,BIO,2.95
S132,1,PHYS,3.81
S133,1,CS,3.49
S134,2,CHEM,3.73
S135,2,ENG,1.15
S136,1,BIO,3.08
S137,2,CS,2.66
S138,1,MATH,3.42
S139,4,PHYS,2.98
S140,4,MATH,3.37
S141,3,CS,3.55
S142,3,PHYS,3.4
S143,3,BIO,3.85
S144,4,CHEM,2.74
S145,2,CS,3.76
S146,2,ENG,3.1
S147,4,BIO,3.12
S148,2,PHYS,2.2
S149,1,BIO,2.78
S150,2,CHEM,2.72
S151,2,MATH,3.23
S152,2,CHEM,3.76
S153,1,PHYS,1.75
S154,3,BIO,3.4
S155,2,CS,2.04
S156,1,ENG,2.67
S157,3,CS,2.7
S158,3,BIO,2.06
S159,4,PHYS,2.96
S160,3,CS,3.09
S161,3,PHYS,2.16
S162,2,MATH,2.29
S163,2,PHYS,2.87
S164,3,CS,3.69
S165,4,CHEM,3.29
S166,1,CHEM,2.87
S167,3,PHYS,3.44
S168,3,CHEM,3.81
S169,3,BIO,3.68
S170,1,ENG,2.26
S171,4,MATH,2.52
S172,1,MATH,3.09
S173,1,MATH,2.54
S174,2,PHYS,3.38
S175,3,MATH,2.97
S176,2,CHEM,3.73
S177,2,MATH,2.54
S178,2,MATH,3.16
S179,4,BIO,2.98
S180,2,ENG,3.05
S181,4,PHYS,2.95
S182,3,ENG,3.49
S183,4,CS,3.19
S184,3,ENG,2.99
S185,1,CHEM,3.59
S186,1,BIO,2.89
S187,4,PHYS,2.76
S188,2,CS,3.17
S189,1,ENG,3.53
S190,1,MATH,2.55
S191,1,ENG,3.41
S192,3,PHYS,3.25
S193,4,CHEM,2.87
S194,3,CHEM,3.68
S195,3,ENG,2.76
S196,4,MATH,2.77
S197,3,CHEM,2.65
S198,1,CS,2.1
S199,2,CS,3.7
S200,2,BIO,2.43
